General Assembly,1520 2nd St,,Santa Monica,CA,90401,877-348-5665,1
Chipotle Mexican Grill,1218 3rd St,,Santa Monica,CA,90401,310-458-2141,1
Viridian Luxury Apartment Homes,5659 W 8th St,,Los Angeles,CA,90036,323-931-5659,
Versailles Koreatown Apartments,918 S Oxford Ave,,Los Angeles,CA,90006,213-381-5000,
Avalon Del Rey,5535 Westlawn Ave,,Los Angeles,CA,90066,310-439-3458,
Avalon Sunset,1443 N Fuller Ave,,Los Angeles,CA,90046,866-336-8548,
Burton Way Luxury Apartments,8665 Burton Way,,Los Angeles,CA,90048,310-276-4584,
Wilshire Margot Luxury Apartments,10599 Wilshire Blvd,#100,Los Angeles,CA,900024,310-475-7600,
Regent Lofts,10000 Regent St,,Los Angeles,CA,90034,310-666-8956,
